"Bacteria","Climate_Variable","Lag_Years","x_value","x_scaled","OR","Lower_95CI","Upper_95CI","Relationship_Type"
"3GCR-Ec","Temperature",3,-10,-3.27710256243432,0.739892892449418,0.535404615706229,1.01745319010847,"Threshold"
"3GCR-Ec","Temperature",3,-9.9582985821518,-3.2711394408418,0.740786840236807,0.536955836934592,1.01720548353377,"Threshold"
"3GCR-Ec","Temperature",3,-9.91659716430359,-3.26517631924929,0.741680740598556,0.538504244584593,1.01696249146294,"Threshold"
"3GCR-Ec","Temperature",3,-9.87489574645538,-3.25921319765678,0.742574603767289,0.54004986287295,1.01672422106696,"Threshold"
"3GCR-Ec","Temperature",3,-9.83319432860718,-3.25325007606427,0.743468439975633,0.541592716016379,1.0164906795168,"Threshold"
"3GCR-Ec","Temperature",3,-9.79149291075897,-3.24728695447175,0.744362259456214,0.543132828231596,1.01626187398344,"Threshold"
"3GCR-Ec","Temperature",3,-9.74979149291076,-3.24132383287924,0.745256072441657,0.544670223735319,1.01603781163786,"Threshold"
"3GCR-Ec","Temperature",3,-9.70809007506256,-3.23536071128673,0.746149889164589,0.546204926744265,1.01581849965103,"Threshold"
"3GCR-Ec","Temperature",3,-9.66638865721435,-3.22939758969421,0.747043719857634,0.547736961475149,1.01560394519393,"Threshold"
"3GCR-Ec","Temperature",3,-9.62468723936614,-3.2234344681017,0.74793757475342,0.549266352144689,1.01539415543753,"Threshold"
"3GCR-Ec","Temperature",3,-9.58298582151793,-3.21747134650919,0.748831464084572,0.5507931229696,1.01518913755283,"Threshold"
"3GCR-Ec","Temperature",3,-9.54128440366973,-3.21150822491667,0.749725398083716,0.552317298166601,1.01498889871078,"Threshold"
"3GCR-Ec","Temperature",3,-9.49958298582152,-3.20554510332416,0.750619386983477,0.553838901952407,1.01479344608237,"Threshold"
"3GCR-Ec","Temperature",3,-9.45788156797331,-3.19958198173165,0.751513441016482,0.555357958543735,1.01460278683857,"Threshold"
"3GCR-Ec","Temperature",3,-9.41618015012511,-3.19361886013914,0.752407570415357,0.556874492157303,1.01441692815037,"Threshold"
"3GCR-Ec","Temperature",3,-9.3744787322769,-3.18765573854662,0.753301785412727,0.558388527009825,1.01423587718873,"Threshold"
"3GCR-Ec","Temperature",3,-9.33277731442869,-3.18169261695411,0.754196096241219,0.55990008731802,1.01405964112464,"Threshold"
"3GCR-Ec","Temperature",3,-9.29107589658049,-3.1757294953616,0.755090513133457,0.561409197298604,1.01388822712907,"Threshold"
"3GCR-Ec","Temperature",3,-9.24937447873228,-3.16976637376908,0.755985046322069,0.562915881168293,1.013721642373,"Threshold"
"3GCR-Ec","Temperature",3,-9.20767306088407,-3.16380325217657,0.756879706039679,0.564420163143804,1.0135598940274,"Threshold"
"3GCR-Ec","Temperature",3,-9.16597164303587,-3.15784013058406,0.757774502518914,0.565922067441854,1.01340298926325,"Threshold"
"3GCR-Ec","Temperature",3,-9.12427022518766,-3.15187700899155,0.7586694459924,0.567421618279159,1.01325093525154,"Threshold"
"3GCR-Ec","Temperature",3,-9.08256880733945,-3.14591388739903,0.759564546692762,0.568918839872437,1.01310373916322,"Threshold"
"3GCR-Ec","Temperature",3,-9.04086738949125,-3.13995076580652,0.760459814852627,0.570413756438403,1.0129614081693,"Threshold"
"3GCR-Ec","Temperature",3,-8.99916597164304,-3.13398764421401,0.76135526070462,0.571906392193775,1.01282394944072,"Threshold"
"3GCR-Ec","Temperature",3,-8.95746455379483,-3.12802452262149,0.762250894481368,0.57339677135527,1.01269137014849,"Threshold"
"3GCR-Ec","Temperature",3,-8.91576313594662,-3.12206140102898,0.763146726415495,0.574884918139602,1.01256367746357,"Threshold"
"3GCR-Ec","Temperature",3,-8.87406171809842,-3.11609827943647,0.764042766739628,0.576370856763491,1.01244087855693,"Threshold"
"3GCR-Ec","Temperature",3,-8.83236030025021,-3.11013515784395,0.764939025686393,0.577854611443651,1.01232298059957,"Threshold"
"3GCR-Ec","Temperature",3,-8.790658882402,-3.10417203625144,0.765835513488415,0.579336206396801,1.01220999076244,"Threshold"
"3GCR-Ec","Temperature",3,-8.7489574645538,-3.09820891465893,0.766732240378322,0.580815665839656,1.01210191621654,"Threshold"
"3GCR-Ec","Temperature",3,-8.70725604670559,-3.09224579306642,0.767629216588738,0.582293013988933,1.01199876413283,"Threshold"
"3GCR-Ec","Temperature",3,-8.66555462885738,-3.0862826714739,0.768526452352288,0.583768275061348,1.01190054168229,"Threshold"
"3GCR-Ec","Temperature",3,-8.62385321100918,-3.08031954988139,0.7694239579016,0.58524147327362,1.01180725603591,"Threshold"
"3GCR-Ec","Temperature",3,-8.58215179316097,-3.07435642828888,0.7703217434693,0.586712632842463,1.01171891436465,"Threshold"
"3GCR-Ec","Temperature",3,-8.54045037531276,-3.06839330669636,0.771219819288012,0.588181777984595,1.01163552383949,"Threshold"
