"Bacteria","Variable","Slope_Before","t_Before","p_Before","Slope_After","t_After","p_After"
"3GCR-Ec","logit_R",0.116569190782385,32.5437746144629,2.7410475157301e-151,-1.12541511336919e-15,-3.14193274838548e-13,0.999999999999749
"3GCR-Ec","TMP",0.0449061623304264,15.683447039073,7.49022710798766e-49,-5.43004176654234e-16,-1.8964384406507e-13,0.999999999999849
"3GCR-Ec","PREC",-0.433216728927649,-0.636750404081646,0.524459686787383,4.18101229176593e-15,6.14533347509972e-15,0.999999999999995
"3GCR-Ec","HUM",-0.0590477166991891,-6.08467017191804,1.76737269743166e-09,1.22265841100953e-16,1.25990869415219e-14,0.99999999999999
"3GCR-Ec","WET",-0.147036745343935,-2.05081455393089,0.0405925829243127,-3.17052107560805e-15,-4.422126421659e-14,0.999999999999965
"3GCR-Kp","logit_R",0.0201219067975784,12.9197502698902,1.98678158572441e-34,2.48535682156634e-16,1.59578263577232e-13,0.999999999999873
"3GCR-Kp","TMP",0.0530937708641382,13.2551847415591,5.68910289665004e-36,2.36606758102309e-16,5.90703247989847e-14,0.999999999999953
"3GCR-Kp","PREC",-1.72051419662856,-1.85816837894845,0.0635611533081038,-9.31284199890689e-15,-1.00579399777239e-14,0.999999999999992
"3GCR-Kp","HUM",-0.0930347649351191,-7.15289933974707,2.1301972742195e-12,-1.10889700630616e-15,-8.52566099327096e-14,0.999999999999932
"3GCR-Kp","WET",-0.273994971166818,-2.94725551225664,0.00331178918180998,-5.84931340488592e-15,-6.29187503042554e-14,0.99999999999995
"CR-Ab","logit_R",0.0116117691474457,3.99334920405301,7.66688817971834e-05,-8.65021322643724e-17,-2.97485436233295e-14,0.999999999999976
"CR-Ab","TMP",0.0509868912180126,7.77681047024692,5.60654996379728e-14,-4.21545602302435e-16,-6.42965314291207e-14,0.999999999999949
"CR-Ab","PREC",-3.98028307802567,-2.17766297706251,0.029976567721402,-3.04097636805456e-15,-1.66375645174444e-15,0.999999999999999
"CR-Ab","HUM",-0.148240634238108,-5.70275031100617,2.20096309650246e-08,-2.25392879843787e-16,-8.67076238734354e-15,0.999999999999993
"CR-Ab","WET",-0.617987398847393,-3.83242669121097,0.000145908142542731,3.18169462547054e-15,1.97311651154669e-14,0.999999999999984
"CR-Ec","logit_R",0.00185730723399928,2.57251998255141,0.0102819011563834,1.56756725639554e-16,2.17120679726615e-13,0.999999999999827
"CR-Ec","TMP",0.0484027680064717,15.2054924997048,7.21698077424143e-46,8.69350188000694e-16,2.73102103613043e-13,0.999999999999782
"CR-Ec","PREC",-0.614312794908298,-0.816122984026815,0.414681541485057,9.85565179675434e-15,1.30933687537748e-14,0.99999999999999
"CR-Ec","HUM",-0.0616586560348545,-5.79011271320549,1.02318649489247e-08,-8.90679969565023e-16,-8.36401204116528e-14,0.999999999999933
"CR-Ec","WET",-0.178838901641925,-2.28542693805739,0.0225580908406413,1.9264670894692e-15,2.46188035216705e-14,0.99999999999998
"CR-Kp","logit_R",0.0299465923647778,14.502290995793,1.10020598239929e-41,3.9732686740675e-16,1.92414207980365e-13,0.999999999999847
"CR-Kp","TMP",0.0569589855819057,13.5188733082298,5.00739727507558e-37,5.21984458959732e-16,1.23889877908626e-13,0.999999999999901
"CR-Kp","PREC",-1.78695281455192,-1.83885353205544,0.0663758426985148,-1.96141601407538e-14,-2.0183838856523e-14,0.999999999999984
"CR-Kp","HUM",-0.0988087296207695,-7.28198493069054,9.19014347858172e-13,-1.5929949579556e-15,-1.17400206672228e-13,0.999999999999906
"CR-Kp","WET",-0.324425724197748,-3.35376304340178,0.000841770224024066,7.36268502943986e-16,7.61120315382018e-15,0.999999999999994
"CR-Pa","logit_R",-0.00196746442758047,-1.33136819217465,0.183627580622441,-5.42505942569544e-17,-3.67109639126259e-14,0.999999999999971
"CR-Pa","TMP",0.0559564170679852,12.0290051901636,1.04811517935087e-29,2.31075752943848e-16,4.96745784867778e-14,0.99999999999996
"CR-Pa","PREC",-1.90540160310673,-2.05315962138844,0.0405365067385899,-6.27581769881287e-15,-6.76248800745642e-15,0.999999999999995
"CR-Pa","HUM",-0.0950727236982328,-6.69583065216484,5.37235803893703e-11,-2.47873008069432e-16,-1.74573276194722e-14,0.999999999999986
"CR-Pa","WET",-0.250918057593024,-2.32237385163273,0.020582310587259,4.89390297983237e-16,4.52955535437166e-15,0.999999999999996
